identifier,n_code,Source,c_custodian,Topics,Keywords,Title,AltTitle,Abstract,Lineage,Exclue,SME_Reviewed,lvl1-001,lvl2-001,lvl3-001,lvl3-002,lvl3-003,lvl3-004,lvl3-005,lvl3-006,lvl3-007,lvl3-008,lvl3-009,lvl3-010,lvl3-011,lvl3-012,lvl3-013,lvl3-014,lvl3-015,lvl3-016,lvl3-017,lvl2-002,lvl3-018,lvl3-019,lvl3-020,lvl3-021,lvl2-003,lvl3-022,lvl3-023,lvl3-024,lvl3-025,lvl3-026,lvl3-027,lvl3-028,lvl3-029,lvl3-030,lvl3-031,lvl3-032,lvl3-033,lvl3-034,lvl3-200,lvl3-201,lvl2-004,lvl3-035,lvl3-036,lvl3-037,lvl3-038,lvl3-039,lvl3-040,lvl3-041,lvl3-042,lvl2-005,lvl3-043,lvl3-044,lvl3-045,lvl3-046,lvl3-047,lvl3-048,lvl1-002,lvl2-006,lvl3-049,lvl3-050,lvl3-051,lvl3-052,lvl2-007,lvl3-053,lvl3-054,lvl3-055,lvl3-056,lvl2-008,lvl3-057,lvl3-058,lvl3-059,lvl1-003,lvl2-009,lvl2-010,lvl1-004,lvl2-011,lvl3-060,lvl3-061,lvl3-062,lvl3-063,lvl3-064,lvl3-065,lvl2-012,lvl3-067,lvl3-068,lvl3-069,lvl3-070,lvl3-071,lvl3-072,lvl3-073,lvl3-074,lvl3-075,lvl2-013,lvl3-066,lvl3-076,lvl3-077,lvl3-078,lvl3-079,lvl3-080,lvl3-081,lvl3-082,lvl3-083,lvl2-014,lvl3-084,lvl3-085,lvl3-086,lvl3-087,lvl3-088,lvl3-089,lvl2-015,lvl3-090,lvl3-091,lvl3-092,lvl3-093,lvl3-094,lvl3-095,lvl3-096,lvl3-097,lvl3-098,lvl3-099,lvl3-100,lvl3-101,lvl3-102,lvl3-103,lvl3-104,lvl3-105,lvl3-106,lvl3-107,lvl3-108,lvl2-016,lvl3-109,lvl3-110,lvl3-111,lvl3-112,lvl3-113,lvl3-114,lvl3-115
387f56d4-0309-42e1-a61e-8efc78341abc,2692,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Kent and South London 2000,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651eda50-d797-47b7-b713-9c63fc6a3a70,2424,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Kent and South London 2008,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865c0a02-e020-49d8-9f80-cea2db1a9fa6,2496,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Kent and South London 2012,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08908302-b60e-4573-9c57-fa93748f8cbe,2066,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Lincolnshire and Northamptonshire 2000,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec377e50-7301-49c1-86d4-e9c9016545fb,3174,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Lincolnshire and Northamptonshire 2002,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d224f830-013a-4835-beb8-c133c1f8c9bd,3096,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Lincolnshire and Northamptonshire 2012,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e91ab319-c26b-4397-86a8-f36ea3800184,2641,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Lincolnshire and Northamptonshire 2013,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0af02f4-c5bb-451a-8de0-1a54db9bba50,2175,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Lincolnshire and Northamptonshire 2015,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79c450f4-8272-4d35-9256-bc2b656e77b2,2289,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Northumberland Durham and Tees 2014,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e73244d-9d07-45d0-b661-612e58b9741f,2694,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Northumberland Durham and Tees 2015,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f539f02-08f3-40a4-b5e4-f56854c03869,1220,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Solent and South Downs 2010,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc01239c-f138-4a04-9016-67efa491aea3,2890,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Solent and South Downs 2015,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683945df-cf36-457a-b172-b6d8f3176a7e,2350,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Staffordshire Warwickshire and West Midlands 2002,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d24f0369-e7dd-4a79-9282-8632f178bf91,2911,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Wessex 2006,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e7a0b3f-b806-4f1f-a6ae-804017fa45e2,1725,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance West Thames 2006,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c52332b-8aae-4964-8cb6-7a200a1872a6,1478,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Yorkshire 2003,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aad18558-86d5-47f7-80a5-9ce1c9fb8967,3318,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Compliance Yorkshire 2008,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1b49720-fde8-4dd4-aa96-3c8db1bc8bd3,1710,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Monitoring Cambridgeshire and Bedfordshire 2006,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc1e8998-53c1-47a7-9d7f-ab67bb928c74,1232,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Monitoring Cumbria and Lancashire 2000,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccab1cf9-c79a-4ea8-88b1-b505ae9060b2,1542,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Monitoring Cumbria and Lancashire 2010,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6dc9da6-06fc-4ec9-833a-d46ccd861d00,2500,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Monitoring Derbyshire Nottinghamshire and Leicestershire 2011,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71eb1148-b7c2-4d0a-b281-5a08038659b0,2331,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Monitoring Derbyshire Nottinghamshire and Leicestershire 2012,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49d26820-39f0-4f16-9e52-8d328ab99c63,3334,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Monitoring Derbyshire Nottinghamshire and Leicestershire 2014,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455587ac-752c-4027-b4be-9f07775806a0,2751,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, EAbatch2, Environmental monitoring facilities",Water Quality Archive Monitoring Derbyshire Nottinghamshire and Leicestershire 2016,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53ba853e-a1ed-4c80-87aa-2f5d316202e7,2735,EA Sample,Environment Agency,,"RetiredOpenData, water quality, sampling, Environmental monitoring facilities",Water Quality Archive Monitoring Devon and Cornwall 2002,,PLEASE NOTE: This record has been superseded by the Water Quality Archive: https://deframetadata.com/geonetwork/srv/eng/catalog.search#/metadata/2499766e-b15a-4f85-a758-5702de693723. The Water Quality Archive provides data on water quality measurements taken from sampling points around the country and then analysed  to measure aspects of the water quality and / or the environment at that point.,The Water Quality Archive provides data on water quality measurements carried out by the Environment Agency. Samples are taken from sampling points round the country and then analysed by laboratories to measure aspects of the water quality or the environment at the sampling point. The archive provides data on these measurements and samples dating from 2000 to 2015.,,Reviewed,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
